Passenger_Id,pclass,survived,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body
1,3,0,male,39,1,5,347082,31.275,,S,,
2,3,1,female,15,0,0,330923,8.0292,,Q,,
3,2,1,male,26,1,1,248738,29,,S,13,
4,3,0,male,23,0,0,347468,7.8542,,S,,
5,3,1,male,20,1,0,STON/O 2. 3101285,7.925,,S,15,
6,2,0,female,44,1,0,244252,26,,S,,
7,3,0,female,,1,9,CA. 2343,69.55,,S,,
8,2,0,male,30,0,0,233478,13,,S,,
9,3,0,male,26,0,0,341826,8.05,,S,,103
10,3,0,female,25,0,0,347071,7.775,,S,,
11,3,0,male,30,1,0,A/5. 3336,16.1,,S,,
12,1,0,male,64,0,0,693,26,,S,,263
13,2,0,male,23,0,0,C.A. 31030,10.5,,S,,
14,2,0,male,,0,0,SC/PARIS 2131,15.05,,C,,
15,3,0,female,18,2,0,345764,18,,S,,
16,1,1,female,32,0,0,11813,76.2917,D15,C,8,
17,3,0,male,,0,0,36865,7.7375,,Q,,
18,3,0,male,40,1,1,364849,15.5,,Q,,
19,3,0,male,40,0,0,349251,7.8958,,S,,
20,1,0,male,19,1,0,113773,53.1,D30,S,,
21,1,0,male,,0,0,113028,26.55,C124,S,,
22,3,1,female,,0,0,2626,7.2292,,C,,
23,1,1,male,48,0,0,19952,26.55,E12,S,3,
24,3,1,male,20,0,0,SOTON/O2 3101284,7.925,,S,15,
25,3,1,female,47,1,0,363272,7,,S,,
26,2,0,male,42,0,0,244310,13,,S,,
27,1,0,male,33,0,0,695,5,B51 B53 B55,S,,
28,3,0,male,22,0,0,PP 4348,9.35,,S,,
29,3,1,male,26,0,0,2699,18.7875,,C,15,
30,2,0,male,21,1,0,28134,11.5,,S,,
31,2,0,male,28,0,0,244358,26,,S,,
32,3,0,female,41,0,5,3101295,39.6875,,S,,
33,3,0,female,27,1,0,STON/O2. 3101270,7.925,,S,,
34,2,1,male,62,0,0,S.W./PP 752,10.5,,S,15,
35,2,0,male,40,1,0,2926,26,,S,,286
36,3,1,male,24,0,0,S.O./P.P. 752,7.55,,S,D,
37,3,0,male,39,0,2,2675,7.2292,,C,,
38,3,1,female,,0,0,14312,7.75,,Q,D,
39,1,1,male,43,1,0,17765,27.7208,D40,C,5,
40,1,0,male,61,0,0,111240,33.5,B19,S,,245
41,3,0,male,,0,0,349238,7.8958,,S,,
42,3,0,female,21,1,0,4137,9.825,,S,,
43,3,0,male,,0,0,349201,7.8958,,S,,
44,3,1,male,23,0,0,350054,7.7958,,S,13,
45,3,0,male,22,0,0,STON/O 2. 3101275,7.125,,S,,
46,3,0,male,39,0,0,A/4 48871,24.15,,S,,
47,3,0,male,18,0,0,350036,7.7958,,S,,
48,2,0,male,54,0,0,29011,14,,S,,
49,3,1,male,19,0,0,A/5. 10482,8.05,,S,B,
50,3,0,male,16,0,0,345778,9.5,,S,,
51,2,0,male,40,0,0,28221,13,,S,,
52,2,0,male,62,0,0,240276,9.6875,,Q,,
53,3,0,male,23,0,0,SOTON/O.Q. 3101309,7.05,,S,,
54,3,0,male,,0,0,323592,7.25,,S,A,
55,3,0,male,,0,0,368703,7.75,,Q,,
56,3,0,female,,0,0,330924,7.8792,,Q,,
57,3,0,male,21,0,0,A/4. 39886,7.8,,S,,
58,3,1,female,5,0,0,364516,12.475,,S,13,
59,1,1,female,,0,0,17770,27.7208,,C,5,
60,1,1,female,37,1,0,19928,90,C78,Q,14,
61,1,0,male,45,0,0,113784,35.5,T,S,,
62,3,1,male,21,0,0,350034,7.7958,,S,A,
63,2,1,female,25,1,1,237789,30,,S,12,
64,3,0,male,18,1,0,2680,14.4542,,C,,
65,3,1,female,,1,0,367230,15.5,,Q,16,
66,1,1,female,45,1,1,36928,164.8667,,S,8,
67,3,0,male,33,0,0,A./5. 3338,8.05,,S,,
68,3,0,male,,0,0,A/5 2466,8.05,,S,,
69,1,1,female,52,1,1,12749,93.5,B69,S,3,
70,3,0,female,30.5,0,0,364850,7.75,,Q,,61
71,3,0,female,1,1,1,350405,12.1833,,S,,
72,1,1,male,53,0,0,113780,28.5,C51,C,B,
73,2,0,male,25,0,0,C.A. 31029,31.5,,S,,
74,3,0,male,,0,0,392092,8.05,,S,,
75,3,0,male,,1,1,A/5. 851,14.5,,S,,
76,2,0,male,63,1,0,24065,26,,S,,
77,2,0,male,19,0,0,28004,10.5,,S,,
78,2,1,female,28,0,0,237668,13,,S,13,
79,2,0,male,26,0,0,248659,13,,S,,
80,2,1,male,,0,0,SC/PARIS 2146,13.8625,,C,9,
81,1,1,female,48,1,0,11755,39.6,A16,C,1,
82,1,0,male,,0,0,PC 17318,25.925,,S,,
83,3,1,male,29,0,0,345779,9.5,,S,11,
84,3,0,female,18,0,0,365226,6.75,,Q,,
85,3,1,female,9,1,1,2650,15.2458,,C,C,
86,3,0,male,,1,0,65303,19.9667,,S,,
87,3,0,male,21,0,0,8475,8.4333,,S,,
88,1,1,male,35,0,0,111426,26.55,,C,15,
89,3,0,male,,0,0,362316,7.25,,S,,
90,1,1,female,33,0,0,PC 17613,27.7208,A11,C,11,
91,2,0,male,,0,0,239854,0,,S,,
92,3,0,male,18,1,1,350404,7.8542,,S,,
93,2,1,female,50,0,1,230433,26,,S,12,
94,3,1,male,32,0,0,350403,7.5792,,S,15,
95,1,1,female,19,0,0,112053,30,B42,S,3,
96,1,1,female,54,1,0,36947,78.2667,D20,C,4,
97,2,0,male,33,0,0,SCO/W 1585,12.275,,S,,
98,2,1,female,19,0,0,28404,13,,S,12,
99,2,0,male,30,1,0,CA 31352,21,,S,,
100,3,0,female,,0,0,343095,8.05,,S,,
101,3,0,male,17,1,0,350048,7.0542,,S,,
102,3,0,male,28,0,0,349243,7.8958,,S,,306
103,3,0,male,,0,0,349216,7.8958,,S,,
104,3,1,male,4,1,1,347742,11.1333,,S,15,
105,3,1,female,18,0,0,4138,9.8417,,S,15,
106,3,0,male,22,0,0,SC/A4 23568,8.05,,S,,
107,3,0,male,,0,0,S.O./P.P. 751,7.55,,S,,
108,3,1,female,5,4,2,347077,31.3875,,S,15,
109,3,1,female,,1,0,376564,16.1,,S,10,
110,3,0,male,,0,0,345777,9.5,,S,,
111,2,0,male,28,0,0,248740,13,,S,,
112,1,1,male,54,1,0,11778,55.4417,C116,C,1,
113,2,1,female,23,0,0,SC/AH Basle 541,13.7917,D,C,11,
114,1,1,male,,0,0,F.C. 12998,25.7417,,C,7,
115,3,0,male,33,0,0,347465,7.8542,,S,,
116,3,0,male,24,0,0,342441,8.05,,S,,
117,1,1,female,24,0,0,PC 17477,69.3,B35,C,9,
118,1,1,female,60,1,0,110813,75.25,D37,C,5,
119,2,0,male,47,0,0,237565,15,,S,,
120,1,1,male,34,0,0,113794,26.55,,S,7,
121,1,1,male,40,0,0,112277,31,A31,C,7,
122,3,0,male,28,2,0,3101277,7.925,,S,,
123,1,1,female,39,0,0,PC 17758,108.9,C105,C,8,
124,3,0,male,25,0,0,SOTON/O.Q. 3101312,7.05,,S,,79
125,3,0,female,22,0,0,7553,9.8375,,S,,
126,2,1,female,30,1,0,SC/PARIS 2148,13.8583,,C,12,
127,3,0,male,25,0,0,36864,7.7417,,Q,,
128,1,1,female,25,1,0,11765,55.4417,E50,C,5,
129,1,0,male,46,0,0,13050,75.2417,C6,C,,292
130,3,0,male,22,0,0,350052,7.7958,,S,,156
131,3,0,female,29,0,4,349909,21.075,,S,,206
132,2,1,female,14,1,0,237736,30.0708,,C,,
133,2,1,male,1,0,2,S.C./PARIS 2079,37.0042,,C,10,
134,2,1,female,33,1,2,C.A. 34651,27.75,,S,10,
135,1,0,male,55,0,0,680,50,C39,S,,
136,3,0,male,,0,0,358585,14.5,,S,,
137,3,0,male,25,0,0,348123,7.65,F G73,S,,309
138,3,0,female,31,0,0,350407,7.8542,,S,,
139,3,0,male,19,0,0,349212,7.8958,,S,,
140,1,0,male,70,1,1,WE/P 5735,71,B22,S,,269
141,1,1,female,58,0,1,PC 17755,512.3292,B51 B53 B55,C,3,
142,3,0,male,25,1,0,349237,17.8,,S,,
143,2,0,male,42,1,1,28220,32.5,,S,,
144,3,0,male,,0,0,315037,8.6625,,S,,
145,1,0,female,50,0,0,PC 17595,28.7125,C49,C,,
146,3,0,male,43,0,0,349226,7.8958,,S,,
